Treść,Kategoria
Księżna Diana i książę Karol pobrali się 39 lat temu w londyńskiej kaplicy Westminster Abby.,1
"Wielokrotnie zdradzana i niekochana Diana, która przez niepowodzenia w miłości kilkukrotnie próbowała targnąć się na własne życie, nawet będąc w ciąży, postanowiła szukać zrozumienia i miłości u innych mężczyzn.",1
"Księżną Dianę po raz pierwszy zobaczył jesienią 1986 roku, podczas koktajlowego przyjęcia dla dworzan.",2
Ukończył Królewską Akademię Wojskową i został powołany do armii brytyjskiej w 1978 roku.,2
"4 maja 2017 roku brytyjskie media donosiły, że Hewitt przeszedł zawał serca i udar. ",2
Niemal dwa miesiące później został wypisany ze szpitala i do pełnego zdrowia dochodził w domu.,2
"Mróz bowiem pozbawił tam tysiące mieszkańców prądu, ogrzewania i wody.",3
"Marznący deszcz we Władywostoku sprawił, że w piątek w 900 blokach nie było prądu.",3
W pozostałych częściach regionu ok. 120 tys. osób zgłosiło spowodowane załamaniem pogody braki w dostawie wody i ogrzewania ,4
"Władze organizują kuchnie polowe oraz tymczasowe schronienia w szkołach i placówkach socjalnych, gdzie można dostać gorący posiłek i wodę.",4
"W Kraju Nadmorskim (całym regionie) spadło tyle śniegu, ile zazwyczaj przez półtora miesiąca. Od zeszłego tygodnia pada tam także marznący deszcz, który zerwał linie elektryczne, powalił słupy i połamał gałęzie drzew. Sytuację utrudnia silny wiatr. We Władywostoku powalił on 4,5 tys. drzew.",4
"Zapis, który ma się pojawić w rozporządzeniu mówi o tym, że jedynymi osobami, które mogą korzystać z basenów czy siłowni będą zawodowi sportowcy.",3
"Tak oto właściciele siłowni decydowali się na wynajmowanie sprzętu do ćwiczeń, organizowanie zawodów sportowych bez udziału widowni.",4
"Car Mikołaj II po oddaniu władzy poddał się z rodziną aresztowi domowemu, następnie przeniesiono ich do Tobolska, a kilka miesięcy później - do Jekaterynburga",1
"Życie rodziny zależało od nowego władcy Rosji, który ostatecznie zlecił zamordowanie cara i jego najbliższych. Do zbrodni doszło w tzw. Domu Specjalnego Przeznaczenia, a za przebieg egzekucji odpowiadał Jakow Jurowski",1
"17 lipca 1918 roku rodzina Mikołaja II została podstępem przeniesiona do piwnicy, gdzie odbyła się ""rzeź Romanowów"".",3
"Na krótko przed abdykacją car Mikołaj II napisał w swoim dzienniku: ""Wokół kłamstwo, zdrada i tchórzostwo"". ",1
A tego obawiał się przewodniczący KGB Jurij Andropow.,2
W czerwcu 1918 roku przeciw władzy bolszewickiej zbuntował się Korpus Czechosłowacki.,4
"Mikołaj i Aleksandra zastanawiali się, czy bolszewicy zaryzykują uwolnienie rodziny carskiej.",2
"O tym samym myśleli też przedstawiciele lokalnych władz, którzy spotkali się 16 czerwca i podjęli decyzję",4
Lenin obawiał się reakcji świata na zamordowanie dzieci Romanowów. Ostatecznie Kreml dał zielone światło.,2
Decyzja o pozbawieniu życia wszystkich członków rodziny ostatniego cara Rosji zapadła 12 lipca 1918 roku.,3
"Ten 40-letni były zegarmistrz i fotograf, który w czasie wojny pełnił obowiązki felczera, szczerze nienawidził caratu.",1
Sam wybrał katów.,1
"Dwóch członków plutonu egzekucyjnego odmówiło udziału w zabójstwie, ponieważ nie chcieli zabijać dziewcząt.",1
"Olga, Tatiana i Anastazja krzyczały z przerażenia.",2
Wiadomość o egzekucji dotarła do przywódców bolszewików w Moskwie w ciągu dwóch dni.,3
"Archeolodzy znaleźli w Słuszkowie k. Kalisza skarb składający się m.in. z 6,5 tys. srebrnych monet",4
Rozszyfrował go prof. Adrian Jusupović z Instytutu Historii PAN w Warszawie.,2
"Kazimierz Deyna urodził się dokładnie 23 października 1947 roku, w Starogardzie Gdańskim.",2
"Tam uczył się, by w przyszłości zostać elektrykiem.",2
Zaraziło nią młodego Kazika jego własne rodzeństwo.,2
"Wyróżniał się sprawnością fizyczną w szkole, będąc najlepszym uczniem na WF-ie.",2
"Rodzice sportowca podpisali umowę z tym drugim klubem pomimo, że oficjalnie Kazimierz dalej grał w ZKS Włókniarz.",4
"Kazimierz Deyna oraz jego znajomi z drużyny San Diego założyli własny klub, The Legends, w mieście Tujuana (Meksyk) – ze względu na mniejsze podatki, niż w Stanach Zjednoczonych.",4
"Naukowcy z Uniwersytetu Harvarda pracują nad technologią, która miałaby zmniejszyć skutki globalnego ocieplenia. ",4
Pomysł wspiera finansowo miliarder Bill Gates.,1
"Bill Gates miliarder i założyciel firmy Microsoft wspiera finansowo rozwój technologii ""przyciemniania"" słońca, która potencjalnie wywoływałaby efekt ochłodzenia klimatu. ",1
"Ekolodzy obawiają się też, że radykalna zmiana strategii łagodzenia zmiany klimatu będzie traktowana jako zielone światło dla dalszej emisji gazów cieplarnianych przy niewielkich lub zerowych zmianach w bieżących wzorcach konsumpcji i produkcji.",4
"SCoPEx zrobi kolejny krok w badaniach w czerwcu w pobliżu miasta Kiruna w Szwecji, gdzie Szwedzka Agencja Kosmiczna zgodziła się pomóc w wystrzeleniu balonu z odpowiednim wyposażeniem na wysokość 20 km.",3
"David Keith, profesor fizyki na Uniwersytecie Harvarda, dostrzega ""wiele realnych problemów"" takiej geoinżynierii.",2
Birmańska armia przejęła w poniedziałek nad ranem władzę w kraju.,4
"W telewizyjnym oświadczeniu birmańska armia poinformowała, że obowiązki prezydenta przejął emerytowany generał Myint Swe. ",4
"Około godz. 3 nad ranem czasu lokalnego (godz. 21.30 w niedzielę w Polsce) urzędujący prezydent U Win Myint został aresztowany przez armię, razem z liderką Narodowej Ligi dla Demokracji (NLD) Aung San Suu Kyi. ",4
Sekretarz stanu USA Antony Blinken wezwał birmańską armię do uwolnienia wszystkich zatrzymanych i uszanowania woli Birmańczyków i wyników listopadowych wyborów.,1
Działania birmańskiego wojska stanowczo potępił sekretarz generalny ONZ Antonio Guterres.,1
" Pozostali robotnicy odnieśli lżejsze obrażenia i przewiezieni zostali do szpitali w Tarnowie, Gorlicach i Jaśle.",3
Wyjaśnienie przyczyn katastrofy budowlanej odbywa się z udziałem Prokuratury Rejonowej w Tarnowie,4
Francuski parlament przyjął we wtorek ustawę przedłużającą stan zagrożenia sanitarnego do 1 czerwca.,4
"Minister zdrowia Olivier Veran uważa, że termin 1 czerwca jest ""spójny z dynamiką epidemii"".",2
Wciąż trwa pożar w nowym budynku archiwum Urzędu Miasta Krakowa.,3
Gasi go 17 zastępów strażaków.,4
Ratownicy wykuli otwory w ścianach budynku co ułatwiło prace gaśnicze oraz oddymiło częściowo jego wnętrze.,4
Filipińska kongresmenka domaga się opuszczenia kraju przez polskich dyplomatów.,1
Zdaniem Cheryl Deloso Montalli rzucali obraźliwe uwagi pod adresem Filipińczyków po spowodowaniu wypadku drogowego.,4
"Policja podnosi rękę na młodych ludzi, chcąc nas zdemotywować.",4
"W pewnym momencie podszedł do mnie policjant i powiedział, że jestem ""osobą niepełnoletnią i nie powinno mnie tu być bez opieki rodziców"".",1
Stanisław O. przyjmował łapówki głównie za wypuszczenie podejrzanych z aresztu. ,1
Po 18 latach spędzonych za kratami w marcu 2018 r. Tomasz Komenda wyszedł na wolność i został oczyszczony ze wszystkich zarzutów.,2
W Senacie USA rusza polityczny proces Donalda Trumpa o usunięcie z urzędu prezydenta.,4
"Mimo tego oponenci byłego już prezydenta szukają rozwiązań, by pozbawić go walki o Biały Dom w kolejnych wyborach.",4
"Lucyna Winnicka początkowo nie wiązała swojej kariery z aktorstwem – i choć często spotykała się z sugestiami, że powinna występować przed kamerą, nie ciągnęło jej do filmowego świata.",2
Samą aktorkę te mocno niesprawiedliwe opinie raniły.,2
"Tym razem Amerykanie wysłali na Czerwoną Planetę pojazd o nazwie Perseverance, którego misja może być jedną z najważniejszych kosmicznych inicjatyw, jaką NASA przedsięwzięła w swojej historii.",4
"Mars Perseverance rozpocznie manewr lądowania na Czerwonej Planecie 18 lutego, kilka minut przed godz. 22.00 polskiego czasu.",3
"Oficer zasłynął dwoma spektakularnymi akcjami podczas kampanii norweskiej. Jedna z jego misji, którą wykonał wbrew rozkazom dowództwa, uratowała kilka tysięcy mieszkańców Narwiku.",1
"Niemcy obawiając się, że Alianci zechcą zająć północną Norwegię by w ten sposób przerwać łańcuch dostaw, zaatakowali jako pierwsi. ",4
"Urodził się w Londynie i był synem kapitana Ernesta Dalzel-Joba, który zginął podczas I wojny światowej.",2
Podczas II wojny światowej wraz z Brytyjskim Korpusem Ekspedycyjnym został wysłany do Norwegii. Został oficerem łącznikowym pomiędzy wojskami alianckimi a stroną norweską.,2
Jednym z okrętów czekających na rozładunek był polski transportowiec „Batory”.,3
"Dlatego Dalzel-Job wykorzystał swoją znajomość norweskiego i porozumiał się z lokalnymi szyprami, by Ci użyczyli swoich statków.",1
Brytyjczyk wymyślił bardzo sprawną metodę transportu.,1
Alianckie natarcie na Narwik ruszyło spod Harstad 13 maja.,4
Na misję ratunkową został wysłany Dalzel-Job.,2
Brytyjski oficer jednak nie podporządkował się temu rozkazowi. ,1
"Dalzel-Job postanowił, że wszystkie łodzie jakie są mu dostępne będą ewakuować mieszkańców miasta.",1
Po kolei przybywał do nadbrzeża zabierając mieszkańców miasta i rozwożących ich po okolicznych miastach i portach - z dala od frontu.,1
"Niskie temperatury podczas zimy w 1929 roku doprowadziły do paraliżu na kolei, zawieszania zajęć szkolnych i zamarznięcia portu w Gdyni. ",3
Mróz uniemożliwiał szybką naprawę zerwanych linii.,3
"Mróz powodował, że nawet parowozy zamarzały.",3
"Miasto postanowiło temu przeciwdziałać, ustalając maksymalne stawki za kilogram węgla.",4
"Mróz miał także wpływ na przyrodę. W Krakowie pojawiły się kruki, które w poszukiwaniu pożywienia przyleciały do miasta.",3
"Mróz zebrał wiele ofiar, które zamarzły. ",3
Zima całkowicie sparaliżowała transport kolejowy.,3
"Mróz powodował, że nawet parowozy zamarzały.",3
"Choroba atakuje dzieci, stąd nazywana jest także ostrym nagminnym porażeniem dziecięcym (poliomyelitis).",3
"Gdy wybuchła II wojna światowa wyjechał do Stanów Zjednoczonych, gdzie prowadził badania, w tym nad szczepionką przeciwko wirusowi polio.",1
Swoje osiągnięcie Koprowski zawdzięcza bawełniakom.,2
"Także szczepionka Koprowskiego została wykorzystana w Polsce, w której w latach 50-tych trwała epidemia polio.",3
Podobnie jak inne miasta Mezopotamii o jego ulokowaniu zdecydowały sprzyjające warunki naturalne zapewniane przez wylewy dwóch wielkich rzek: Eufratu i Tygrysu.,3
"Po swoich poprzednikach odziedziczył niewielkie państwo, ale silne gospodarczo i rozwinięte militarnie.",2
"Po okresie umacniania pozycji wewnątrz swojego państwa, a także rozbudowie fortyfikacji Hammurabi w 1786 r. p.n.e. rozpoczął okres swoich wielkich podbojów.",1
"Zdobył znajdujące się na miasta Isin i Uruk, a następnie Malgum i Rapiqum.",1
W 1761 r. p.n.e. podbił także dawnego sojusznika z miasta Mari. Hammurabiemu udało się także narzucić swoją zwierzchność nad państwem asyryjskim.,1
Kult babilońskiego boga Marduka wyparł dotychczasowe wierzenia Sumerów.,3
Babilonię opanowali Asyryjczycy.,4
"Kres świetności państwa starobabilońskiego położyła wyprawa króla Hetytów Mursilisa I, który w 1595 r. p.n.e. zdobył i złupił Babilon",1
"Polka w świetnym stylu, imponując spokojem i techniką, wygrała ze Szwajcarką Jill Belen Teichmann.",2
"Świątek w całej rywalizacji w Paryżu nie straciła nawet seta, pokazując, że jest niezwykle mocna technicznie i psychicznie.",2
"Collins w poprzedniej rundzie wyeliminowała liderkę światowego rankingu, Amerykankę Ashleigh Barty.",2
"Drugi set efektownie rozpoczęła Szwajcarka, chcąc udowodnić, że mimo dużej przewagi Polki, nadal ma ochotę na włączenie się na poważnie do walki o finał.",2
"Teichmann wyraźnie zdenerwowana nie zdołała już odpowiedzieć w gemie serwisowym Polki, a następnie przegrała również swoje podanie. ",2
"Brytyjskiemu monarsze w zaciszu alkowy odebrano życie, by informacja o śmierci ukazała się w określonym wydaniu gazety.",1
"Niemniej jednak Jerzy V bardzo przykładał się do swoich funkcji, ciężko pracując na to, aby stać się widocznym i poważanym na świecie monarchą.",1
"W czasie wojny zmienił nazwisko rodowe z Saxe-Coburg-Gotha na Windsor, by zminimalizować wszelkie skojarzenia z niemieckim pochodzeniem.",1
W Londynie trwały parady na cześć uwielbianego przez poddanych monarchy.,4
"Był styczeń 1936 r., kiedy lekarze poważnie zaniepokoili się stanem zdrowia króla Wielkiej Brytanii.",4
Monarcha był nałogowym palaczem.,1
"Edward nie stronił od kontaktów z niższymi sferami, co uważano wówczas za niedorzeczne i nie chciał się ustatkować.",1
Przyszły król wybierał wyłącznie starsze od siebie rozwódki i mężatki.,1
Postawa ta była dla Jego Wysokości prawdziwym powodem do rozgoryczenia.,3
"Król złożył podpis na stosownym dokumencie, wiedząc, że jest to jego ostatnie spotkanie z ministrami.",1
"Dzień później, kiedy przebywał w posiadłości Sandringham, położonej w hrabstwie w Norfolk, jego stan już był niemal wegetatywny.",2
"Królem opiekował się wówczas prywatny lekarz, lord Bertrand Dawson. ",1
"Aby tego uniknąć, zdecydował się na natychmiastowe pozbawienie życia konającego monarchy.",1
"Nakazał jej jak najszybciej zawiadomić dziennik ""The Times"" i zaznaczyć, by wieści o śmierci władcy kraju ukazały się z samego rana.",1
"Osobisty lekarz monarchy bardzo szczerze opisał przebieg wydarzeń oraz własną motywację, jaką się kierował.",1
"Choć królewski lekarz wypowiedział się przeciwko ustawie, która zalegalizowałaby tę praktykę, zrobił to bez potępiania eutanazji.",1
"Choć po śmierci ojca faktycznie objął tron, zaledwie rok później poddał się abdykacji.",1
Udało mu się jednak przezwyciężyć liczne trudności i zostać pierwszym kosmonautą.,1
"Wówczas okoliczni mieszkańcy pomogli pilotowi, któremu udało się wylądować.",4
Ta historia zrobiła ogromne wrażenie na przyszłym kosmonaucie.,2
"Kilka dni po tych wydarzeniach do wsi wkroczyli Niemcy, spalili szkołę Gagarina, a także zajęli jego dom.",4
"Odtąd, do czasu wycofania Niemców z ZSRR, rodzina Gagarinów mieszkała w lepiance o wymiarach 3 na 3 metry.",2
